GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G29279,SEEDGWAS529,CIMMYTMA-025802,1977-03-02,7,5,8,20.054799,-90.23914,6.40708564564833
G29282,SEEDGWAS1037,CIMMYTMA-025804,1952-03-06,7,5,106,17.971798,-101.799996,5.86547451471148
G29287,SEEDGWAS675,NA,NA,NA,NA,NA,NA,NA,NA
G29290,SEEDGWAS1736,CIMMYTMA-025807,1951-01-01,7,5,15,21.82,-105.2,10.3023116482554
G29292,SEEDGWAS1737,CIMMYTMA-025808,1951-01-01,7,5,15,21.82,-105.2,10.3023116482554
G29314,SEEDGWAS1739,CIMMYTMA-025813,1951-01-01,7,5,15,21.82,-105.2,10.3023116482554
G29323,SEEDGWAS530,CIMMYTMA-025814,1951-01-01,7,5,15,21.82,-105.2,10.3023116482554
G29329,SEEDGWAS1740,CIMMYTMA-025817,1951-01-01,7,5,62,20.3,-89.65,7.04400804072354
G29339,SEEDGWAS1741,CIMMYTMA-025818,1974-01-01,8,6,1043,20.007577,-97.52396,3.18790059149105
G29343,SEEDGWAS4192,CIMMYTMA-025821,1975-01-01,7,5,1099,21.110878,-104.449948,9.31925151880483
G29351,SEEDGWAS2641,CIMMYTMA-025822,1975-01-01,7,5,1099,21.110878,-104.449948,9.31925151880483
G29352,SEEDGWAS1742,CIMMYTMA-025823,1951-01-01,7,5,28,21.96666667,-105.1333333,10.3094617878433
G29353,SEEDGWAS1743,CIMMYTMA-025825,1951-01-01,7,5,28,21.96666667,-105.1333333,10.3094617878433
G29356,SEEDGWAS531,CIMMYTMA-025828,1978-11-18,9,7,21,17.6,-92.81666667,3.18978366577495
G29357,SEEDGWAS1744,CIMMYTMA-025830,1978-11-24,9,7,7,18.296126,-93.2296,2.95774866544978
G29370,SEEDGWAS2642,NA,NA,NA,NA,NA,NA,NA,NA
G29373,SEEDGWAS3104,CIMMYTMA-025857,1974-01-01,7,5,1938,19.84452,-97.505022,3.03663445319485
G29373,SEEDGWAS4847,CIMMYTMA-025857,1974-01-01,7,5,1938,19.84452,-97.505022,3.03663445319485
G29375,SEEDGWAS4848,CIMMYTMA-025859,1972-01-01,7,5,2190,16.757656,-92.708848,3.30650013055285
G29380,SEEDGWAS3106,CIMMYTMA-025861,1972-01-01,7,5,2190,16.757656,-92.708848,3.30650013055285
G29380,SEEDGWAS4849,CIMMYTMA-025861,1972-01-01,7,5,2190,16.757656,-92.708848,3.30650013055285
G29381,SEEDGWAS3107,CIMMYTMA-025862,1976-01-17,6,4,2135,17.517894,-97.342947,1.39258318764984
